"team","over","batter","bowler","non_striker","batter_runs","extras_runs","total_runs","wicket"
"Kolkata Knight Riders","0","SC Ganguly","P Kumar","BB McCullum","0","1","1",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","1","1",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","0","BB McCullum","P Kumar","SC Ganguly","0","1","1",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","4","0","4",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","4","0","4",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","6","0","6",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","4","0","4",NULL
"Kolkata Knight Riders","1","BB McCullum","Z Khan","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","2","SC Ganguly","P Kumar","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","2","SC Ganguly","P Kumar","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","2","SC Ganguly","P Kumar","BB McCullum","0","1","1",NULL
"Kolkata Knight Riders","2","BB McCullum","P Kumar","SC Ganguly","4","0","4",NULL
"Kolkata Knight Riders","2","BB McCullum","P Kumar","SC Ganguly","1","0","1",NULL
"Kolkata Knight Riders","2","SC Ganguly","P Kumar","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","3","BB McCullum","AA Noffke","SC Ganguly","0","5","5",NULL
"Kolkata Knight Riders","3","BB McCullum","AA Noffke","SC Ganguly","6","0","6",NULL
"Kolkata Knight Riders","3","BB McCullum","AA Noffke","SC Ganguly","0","1","1",NULL
"Kolkata Knight Riders","3","SC Ganguly","AA Noffke","BB McCullum","4","0","4",NULL
"Kolkata Knight Riders","3","SC Ganguly","AA Noffke","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","3","SC Ganguly","AA Noffke","BB McCullum","1","0","1",NULL
"Kolkata Knight Riders","3","BB McCullum","AA Noffke","SC Ganguly","6","0","6",NULL
"Kolkata Knight Riders","4","SC Ganguly","P Kumar","BB McCullum","4","0","4",NULL
"Kolkata Knight Riders","4","SC Ganguly","P Kumar","BB McCullum","1","0","1",NULL
"Kolkata Knight Riders","4","BB McCullum","P Kumar","SC Ganguly","4","0","4",NULL
"Kolkata Knight Riders","4","BB McCullum","P Kumar","SC Ganguly","0","0","0",NULL
"Kolkata Knight Riders","4","BB McCullum","P Kumar","SC Ganguly","1","0","1",NULL
"Kolkata Knight Riders","4","SC Ganguly","P Kumar","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","5","BB McCullum","Z Khan","SC Ganguly","1","0","1",NULL
"Kolkata Knight Riders","5","SC Ganguly","Z Khan","BB McCullum","0","0","0","1"
"Kolkata Knight Riders","5","RT Ponting","Z Khan","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","5","RT Ponting","Z Khan","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","5","RT Ponting","Z Khan","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","5","RT Ponting","Z Khan","BB McCullum","0","0","0",NULL
"Kolkata Knight Riders","6","BB McCullum","AA Noffke","RT Ponting","1","0","1",NULL
"Kolkata Knight Riders","6","RT Ponting","AA Noffke","BB McCullum","1","0","1",NULL
"Kolkata Knight Riders","6","BB McCullum","AA Noffke","RT Ponting","1","0","1",NULL
"Kolkata Knight Riders","6","RT Ponting","AA Noffke","BB McCullum","2","0","2",NULL
"Kolkata Knight Riders","6","RT Ponting","AA Noffke","BB McCullum","1","0","1",NULL
"Kolkata Knight Riders","6","BB McCullum","AA Noffke","RT Ponting","1","0","1",NULL
"Kolkata Knight Riders","7","BB McCullum","Z Khan","RT Ponting","0","0","0",NULL
"Kolkata Knight Riders","7","BB McCullum","Z Khan","RT Ponting","1","0","1",NULL
"Kolkata Knight Riders","7","RT Ponting","Z Khan","BB McCullum","1","0","1",NULL
"Kolkata Knight Riders","7","BB McCullum","Z Khan","RT Ponting","1","0","1",NULL
"Kolkata Knight Riders","7","RT Ponting","Z Khan","BB McCullum","1","0","1",NULL
