"player","team","registry_id"
"SC Ganguly","Kolkata Knight Riders","725529bc"
"BB McCullum","Kolkata Knight Riders","b8a55852"
"RT Ponting","Kolkata Knight Riders","7d415ea5"
"DJ Hussey","Kolkata Knight Riders","fd835ab3"
"Mohammad Hafeez","Kolkata Knight Riders","9ab63e7b"
"LR Shukla","Kolkata Knight Riders","b1451597"
"WP Saha","Kolkata Knight Riders","fe11caa6"
"AB Agarkar","Kolkata Knight Riders","fa463154"
"AB Dinda","Kolkata Knight Riders","66b30f71"
"M Kartik","Kolkata Knight Riders","abfeb126"
"I Sharma","Kolkata Knight Riders","5bb1a1c4"
"R Dravid","Royal Challengers Bangalore","0184dc35"
"W Jaffer","Royal Challengers Bangalore","619aa81f"
"V Kohli","Royal Challengers Bangalore","ba607b88"
"JH Kallis","Royal Challengers Bangalore","86dc8f2e"
"CL White","Royal Challengers Bangalore","d0513f63"
"MV Boucher","Royal Challengers Bangalore","f3cb53a1"
"B Akhil","Royal Challengers Bangalore","af7dadf7"
"AA Noffke","Royal Challengers Bangalore","b69e69ed"
"P Kumar","Royal Challengers Bangalore","e938e1bc"
"Z Khan","Royal Challengers Bangalore","91a4a398"
"SB Joshi","Royal Challengers Bangalore","670709ec"
